Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Afghanistan,AFG,..,0.0331042943388248,0.0937831645363241,0.10017294666822,0.0905306257453222,0.0951023660487108,0.102889174048942,0.101420534924024,0.0804876356263116,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Albania,ALB,0.342888516185495,0.157128687949413,0.139102869861903,0.1258274443172,0.116108109345258,0.132167709064001,0.125000904796954,0.115009629353096,0.10440485836621,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Algeria,DZA,0.211427507302035,0.224057781016353,0.249942853181552,0.256189302248603,0.244018915952972,0.245154157114073,0.252239685677547,0.259179442145384,0.258395314253033,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Andorra,AND,0.154535879775699,0.145535630243975,0.10447173246629,0.103812062477047,0.100886901048346,0.0997535033000631,0.104378853346008,0.0992850099076394,0.104544196929634,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Angola,AGO,0.0763819304108926,0.166679245434538,0.106354216869381,0.112613103281359,0.107822482875654,0.0916825016122287,0.0876146565477027,0.0910171240026851,0.078383512254288,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Antigua and Barbuda,ATG,0.16413979034345,0.163253096420284,0.210014886013482,0.212930579733099,0.208842584953733,0.203658880633655,0.193655183983157,0.187979293601625,0.216069844826152,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Argentina,ARG,0.180023118191471,0.159474036751231,0.147988016521273,0.148825479939239,0.15002855787906,0.142815775839626,0.144713251057763,0.140378089838269,0.143178693875514,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Armenia,ARM,0.910265870194286,0.24090672704705,0.14351596625651,0.135624112025818,0.128344330988882,0.126567570934902,0.127947174866067,0.128972879382498,0.151339400910094,..,..,..
CO2 emissions (kg per 2021 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..,..
